Movimentacao,Contraparte,Sigla CCEE,Fonte,Tipo,Submercado,MWm,MWh,Preço,Total
Venda,NERIA VAREJISTA,NERIA VAREJISTA I5,I5,LP,Sul,0.5,336.0,195.39,65651.04
Venda,ELECTRA ENERGY,ELECTRA I5,I5,LP,Sul,1.0,672.0,264.08,177461.75999999998
Venda,ATMO,ATMO I5,I5,LP,Sul,0.5,336.0,282.72,94993.92000000001
Venda,TRIA,TRIA I5,I5,LP,Sul,0.5,336.0,288.78,97030.07999999999
Venda,TRIA,TRIA I5,I5,LP,Sul,0.24,161.28,379.0,61125.12
