Movimentacao,Contraparte,Sigla CCEE,Fonte,Tipo,Submercado,MWm,MWh,Preço,Total
Venda,AMAZONAS ENERGIA S.A,AMAZONAS ENERG,I5,LP,SE/CO,1.507893,1013.304,309.6,313718.9184
Venda,BOA VISTA ENERG,BOA VISTA ENERG,I5,LP,SE/CO,0.354798,238.424,309.6,73816.07040000001
Venda,CEAL,CEAL,I5,LP,SE/CO,0.252794,169.878,309.6,52594.2288
Venda,CELESC DIST,CELESC DIST,I5,LP,SE/CO,1.626159,1092.779,309.6,338324.37840000005
Venda,EQUATORIAL PIAUI,CEPISA,I5,LP,SE/CO,0.886996,596.061,309.6,184540.4856
Venda,COPEL DIST,COPEL DISTRIB,I5,LP,SE/CO,1.182661,794.748,309.6,246053.98080000002
Venda,ELFSM,ELFSM,I5,LP,SE/CO,0.0887,59.606,309.6,18454.017600000003
