Movimentacao,Contraparte,Sigla CCEE,Fonte,Tipo,Submercado,MWm,MWh,Preço,Total
Venda,STATKRAFT,STATKRAFT I5,I5,LP,Sul,0.2,134.4,227.97,30639.168
Venda,PRIME ENERGY,PRIME ENERGY I5,I5,CP,Sul,0.15,100.8,354.0,35683.2
Venda,PRIME ENERGY,PRIME ENERGY I5,I5,LP,Sul,0.2,134.4,362.0,48652.8
